state,period_id:id,ref,id,journal_id:id
draft,period_2001-1,,move_V01200120010012,journal_V01
draft,period_2001-1,,move_V01200120010013,journal_V01
draft,period_2001-1,,move_V01200120010014,journal_V01
draft,period_2001-1,,move_V01200120010015,journal_V01
draft,period_2001-1,,move_V01200120010016,journal_V01
draft,period_2001-2,,move_V01200120010017,journal_V01
draft,period_2001-2,,move_V01200120010018,journal_V01
draft,period_2001-2,,move_V01200120010019,journal_V01
draft,period_2001-2,,move_V01200120010020,journal_V01
draft,period_2001-2,,move_V01200120010021,journal_V01
draft,period_2001-2,,move_V01200120010022,journal_V01
draft,period_2001-2,,move_V01200120010023,journal_V01
draft,period_2001-2,,move_V01200120010024,journal_V01
draft,period_2001-2,,move_V01200120010025,journal_V01
draft,period_2001-3,,move_V01200120010026,journal_V01
draft,period_2001-3,,move_V01200120010027,journal_V01
draft,period_2001-3,,move_V01200120010028,journal_V01
draft,period_2001-3,,move_V01200120010029,journal_V01
draft,period_2001-3,,move_V01200120010030,journal_V01
draft,period_2001-3,,move_V01200120010031,journal_V01
draft,period_2001-3,,move_V01200120010032,journal_V01
draft,period_2001-3,,move_V01200120010033,journal_V01
draft,period_2001-3,,move_V01200120010034,journal_V01
draft,period_2001-4,,move_V01200120010035,journal_V01
draft,period_2001-4,,move_V01200120010036,journal_V01
draft,period_2001-4,,move_V01200120010037,journal_V01
draft,period_2001-4,,move_V01200120010038,journal_V01
draft,period_2001-4,,move_V01200120010039,journal_V01
draft,period_2001-4,,move_V01200120010040,journal_V01
draft,period_2001-4,,move_V01200120010041,journal_V01
draft,period_2001-4,,move_V01200120010042,journal_V01
draft,period_2001-5,,move_V01200120010043,journal_V01
draft,period_2001-5,,move_V01200120010044,journal_V01
draft,period_2001-5,,move_V01200120010045,journal_V01
draft,period_2001-5,,move_V01200120010046,journal_V01
draft,period_2001-5,,move_V01200120010047,journal_V01
draft,period_2001-5,,move_V01200120010048,journal_V01
draft,period_2001-8,,move_V01200120010049,journal_V01
draft,period_2001-8,,move_V01200120010050,journal_V01
draft,period_2001-8,,move_V01200120010051,journal_V01
draft,period_2001-8,,move_V01200120010052,journal_V01
draft,period_2001-8,,move_V01200120010053,journal_V01
draft,period_2001-8,,move_V01200120010054,journal_V01
draft,period_2001-8,,move_V01200120010055,journal_V01
draft,period_2001-8,,move_V01200120010056,journal_V01
draft,period_2001-9,,move_V01200120010057,journal_V01
draft,period_2001-9,,move_V01200120010058,journal_V01
draft,period_2001-9,,move_V01200120010059,journal_V01
draft,period_2001-9,,move_V01200120010060,journal_V01
draft,period_2001-9,,move_V01200120010061,journal_V01
draft,period_2001-9,,move_V01200120010062,journal_V01
draft,period_2001-9,,move_V01200120010063,journal_V01
draft,period_2001-9,,move_V01200120010064,journal_V01
draft,period_2001-9,,move_V01200120010065,journal_V01
draft,period_2001-9,,move_V01200120010066,journal_V01
draft,period_2001-9,,move_V01200120010067,journal_V01
draft,period_2001-10,,move_V01200120010068,journal_V01
draft,period_2001-10,,move_V01200120010069,journal_V01
draft,period_2001-10,,move_V01200120010070,journal_V01
